Теория,КТ1,КТ2,КТ3,КТ4,Экзамен
1,3,1,3,2.5,3
2,3.7,5,4,4,4
2,3.7,2.7,3.5,2.5,4
2,5,3,5,3,4
2,5,4,4,5,5
2,4,3.5,4,3.5,4
2,3.7,1,2.7,4,3
1,4,2.5,2.5,2,4
2,5,4,4,3.5,4
2,4,1,4.5,3.5,4
2,5,4,5,4,5
2,5,1.5,1.3,3.5,3
0,3,1,2.7,1.5,3
2,5,3.7,3.5,2.5,4
1,4,2.7,2.5,3.5,4
0,2,1,3,2.5,3
2,3,3.7,3.7,4,4
2,3,2,4,3,3
2,5,3.5,3.7,4,4
2,5,2,3.5,3,4
2,5,5,5,5,5
2,4,4,5,4,5
2,5,4.5,5,5,5
2,4,2.5,2,3,3
1,3.7,0.5,3,2,3
2,3,4,3,3.5,4
2,2,2,2,2,3
2,4,1.5,3.7,2.5,3
0,3,1.5,3,0,3
2,4.7,3.7,4,4,4
2,5,5,5,5,5
2,5,3,4.3,3.3,4
2,2,2.7,4,3,3
1,5,3.7,5,3,4
2,4.7,3,4.5,5,5
2,5,5,5,5.3,5
2,5,5,5,4.7,5
2,3.7,4,4,5.3,4
2,3.3,3.7,5,5.3,4
2,4,4.7,5,5.3,5
2,5,4.7,5,5.3,5
1,3.3,3,3.3,2.7,4
2,3.7,4,3.7,3,4
0,1.7,3.7,3,1,3
1,3.7,3.7,4.7,4.7,4
2,3.7,3,4,2.7,3
2,5,4.7,5,4.7,5
2,5,5,5,5.3,5
1,3.7,3.3,4,2.7,4
1,4,3,4.7,5,4
2,5,5,5,2.7,5
1,2,3.7,4.5,3,3
1,3.3,2.7,3.7,3,4
2,5,4.7,4.7,3.7,5
2,4.7,3.3,4.7,3.7,4
2,3.3,2.7,5,2.7,4
2,4,3.3,4.7,5,4
2,4.7,3.3,4,3.7,4
1,5,4.7,3.7,5,4
2,3,4.7,5,4,4
2,2.7,3.7,2.7,1.7,3
0,5,2.7,3,2.5,4
2,5,4.7,5,3.7,5
2,3,3.7,3,1,3
1,4.2,3.7,5,3.7,4
2,4,3.7,5,4.7,4
2,3.7,4.3,5,4.7,4
1,4.7,3.7,5,3,4
2,4.3,3,5,3.7,4
2,3.7,4.7,4.7,4,5
2,4.3,5,5,5.3,5
2,5,4.7,5,5,5
1,5,4.7,5,5.3,5
2,4.7,4.3,5,3.7,4
2,4,5,5,5.3,5
1,3.3,2.7,3.7,2.7,3
2,3,3,3,3.3,3
2,3,3.7,4,3,4
0,4.7,3.3,3,3,4
1,2.7,2.7,3.7,2.7,3
0,2,0,1,0,0
2,2.7,2.7,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2.7,1,0
0,2.7,0,1.7,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0.5,0,0,0
0,1,0,2.7,0,0
0,0,0,0,0,0
2,3.7,0,0,0,0
0,0,0,0,0,0
